rawVesNames,mappedVesNames
105 HYODONG CHEMI,105HYODONG CHEMI3
AC-D,AC D
ADAPEARLE,ADAPEARL
ADIYAMAN,ADIYAMAN
AFRICAIN VENTURE,AFRICAN VENTURE
AFRICAN FINFOOD,AFRICAN FINFOOT
AHMET TELLI,AHMET TELLI
AJIA EKATERI,AGIA EKATERINI
AL SAMI,AL SALMI
AL YARMOURK,AL YARMOUK
ALATEPE,ALATEPE
ALCUDI M,ALICUDI M 
ALEKSEY KOGSYGIN,ALEKSEY KOGSYGIN
ALEX SPIRIT,AXEL SPIRIT
ALEYNA MERCAN,ALEYNA MERCAN
ALFA AKDENIZ,ALFA AKDENIZ
ALICE N,ALICE N
ALICE THERESA,ALICE THERESA
ALKINOOS,ALKINOOS
ALTANTIK MIRACLE,ATLANTIK MIRACLE
ALTHINI II,ALITHINI II
ALVANITH,ALVANITH
ALVISE DP,ALVISE DP
AMALIE ESSBERGER,AMALIE ESSBERGER
AMALIE ESSEBERGER,AMALIE ESSBERGER
AMAR GLIFADA,AMAR GLYFADA
AMAZONE,AMAZON
AMBER BEE,AMBER BEE
AMBEROS,AMBELOS
ANDEREY PERVOZVANNY,ANDREY PERVOZVANNIY
ANDOMAN,ANDAMAN
ANDREA D,ANDREA D
ANGRIYA,ANGRIYA
ANNELIESE ESSBERGER,ANNELIESE ESSBERGER
ANNEMASSE,Not found
ANTWERT,ANTWERP
ANUKET RUBI,ANUKET RUBY
Anushree,M.V.ANUSHREE
Apllonas,APOLLONAS
APOGE ENDEAVOUR,APOGEE ENDEAVOUR
APOLLPNAS,APOLLONAS
ARCHAGELOS MICHAIL,PANORMITIS(ARCHAGELOS MICHAEL)
ARGONA,ARAGONA
ARIETA,ARIETTA
ARIETTA LILLY,ARIETTA LILY
ARIETTA LILLY Aft Rn,ARIETTA LILY
ARISS II,ARIS II
ARKLOW CLIEF,ARKLOW CLIFF
ARKLOW MARCH,ARKLOW MARSH
ASC,ASC
ASKLIPIOS,ASKLIPIOS
ASPHALT ESPLENDOR,ASPHALT SPLENDOR
ATHENS VOYAGER - 1ST,ATHENS VOYAGER
ATHENS VOYAGER - 2ND,ATHENS VOYAGER
ATLANTIS ALHAMBRA,ATLANTIS ALHAMBRA
ATLANTIS ALMERIA,ATLANTIS ALMERIA
ATLANTIS ANDAMAN,ATLANTIS ANDAMAN
ATLANTIS ANTIBES,ATLANTIS ANTIBES
ATLANTIS ARACELI,ATLANTIS ARACELI
ATLANTIS ARKI,ATLANTIS ARKI
ATLANTIS AUGUSTA,two vessel with same name
ATRMITOS,ATROMITOS
Australia Bulker,AUSTRALIAN BULKER
AZRA-S,AZRA-S
B GAS MAUD,B GAS MAUD
B SUN,B.SUN
BAKEN LADY,BAKKEN LADY
BALSA 84,BALSA84
BALTIC HEATHER,BALTIC HEATHER
BALTIC WINTER,BALTIC WINTER
BANDIRMA,MT BANDIRMA
BBC DART,BBC DART
BBC EUROPE,BBC EUROPE
BBC GERMANY,JIAN YANG HUA QING
BBC NAPLES,BBC NAPLES
BBC ORION,BBC ORION
BEI HAI MING WAN,BEI HAI MING WANG
BEI HAI YING WANG,BEI HAI MING WANG
Bella V,CAPE BELLA V
BELPARIEL,BELPAREIL
BIRGIT KNUDSEN,BIRGIT KNUTSEN
BOAREAS VENTURE,BOREAS VENTURE
BOMAR HAUMEA,BOMAR HAUMEA
BOMAR HUMEA,BOMAR HAUMEA
BOMAR MARS,BOMAR MARS
BOMAR MERCURY,BOMAR MERCURY
BOMAR VENUS,BOMAR VENUS
BOMAR VESTA,BOMAR VESTA
BONOVA,Multiple vessel
BRITA OLDENDORFF,BRITTA OLDENDORFF
Brite Oldendroff,BIRTE OLDENDORFF
BRO NAKSOV,BRO NAKSKOV
BULE PRIDE,BLUE PRIDE
BUNGA KASTURL ENAM,BUNGA KASTURI ENAM
BW PAVILION ARANTHER,BW PAVILIONARANTHERA
BW THALASSA - 1ST,BW THALASSA
BW THALASSA - 2ND,BW THALASSA
C. PARAGON,G.PARAGON
CABO NEGRO 2,CABO NEGRO II
CAIJUN SUN,CAJUN SUN
CAP THANASIS,CAPT THANASIS
CAPCAP THEODORA,CAP THEODORA
CAPE PIERRE,CAP PIERRE
CARLIPSO,CALYPSO
CARMER,CARMEN
CAROLINE ESSBERGER,CAROLINE ESSBERGER
CASTILLO DE MONTRREAL,Did not found
CBC FUJI,CBC FUYI
CDE ANNA,COE ANNA
CEASAR,CAESAR
CHAILEASE VIRTUE,NAVIOS MARCO POLO
CHANG HANG FENG KAI,CHANG HANG FENG CAI
CHEMTRANS MARS,CHEMTRANS MARS
Chemtrans Saturn,CHEMTRANS SATURN
CL ZHAOGE (MAERSK TIMARU),CL ZHAOGE (MAERSK TIMARU)
CLIPER ODIN,CLIPPER ODIN
CLIPER SKY,CLIPPER SKY
CONSHIP MAX,CONTSHIP MAX
CONSTRUCTOR ZHIVOTOVSKY,CONSTR. ZHIVOTOVSKY
CORAL MEDUSA,CORAL MEDUSA
CORAL PEARL,CORAL PEARL
CORAL SIDEREA,CORAL SIDEREA
CORAL SIDRERA,CORAL SIDEREA
Coreship Oil,CORESHIP OL
COSCO SHIPPING JIN XIU,COSCO SHIPPING JIN XIU
COSCO SHIPPING ZHOU YUE,COSCO SHIPPING ZHUO YUE
COSHONOR LAKE,COSHONOUR LAKE
CROSS RIVER,LNG CROSS RIVER
D&K ABDUL RAZZAK KHALID ZAID AL-KHALID,DK ABDUL RAZZAK KHA
DACIL,DACIL
DARLANA,DALARNA
DARMIK,DARMIK
DARYA SHAN,DARYA SHANTI
DE XING HAI,XING DE HAI
DELTA ATLANTIC,DELTA ATLANTICA
DELTA OCEN,DELTA OCEAN
DESIKTAS DARDANELLES,BESIKTAS DARDANELLES
DHALIA HARMONY,DAHLIA HARMONY
DOMINICO IEVOLI,DOMENICO IEVOLI
DOOLA,DOOLA
DOOLA 7,DOO LA NO.7
DOORA 7,DOO LA NO.7
DOORA STAR,DOOLA STAR
DRACO FAITH,DRACO FAITH
DREDGE BRISBANE,BRISBANE
DUNOUSSA,DONOUSSA
ECO CORSAIR,ECO CORSAIR
ECO ELYSIUM,ECO ELYSIUM
ECO NICAL,ECO NICAL
ECO SEA,ECO SEAS
EEMSLIF DAFNE,EEMSLIFT DAFNE
EKATARINA,EKATERINA
ELANDRA BAY - 2ND,ELANDRA BAY
ELISA AQUILA,ELISA AQUILA
ELLEN ESSBERGER,ELLEN ESSBERGER
EMEK-S,EMEK S
EMIN REIS,EMIN REIS
EMIRALP,EMIRALP
EMPEOROR PAMPERO,EMPEROR PAMPERO
EPHIPHANIA,EPIPHANIA
EPIC BEATA,EPIC BEATA
EPIC BELL,EPIC BELL
EPIC BREEZE,EPIC BREEZE
EPIC MANHATTAN,EPIC MANHATTAN
EPIC SALINA,EPIC SALINA
EPIC SHIKOKU,EPIC SHIKOKU
EPIC ST CROIX,EPIC ST CROIX
EPIC SUSUI,EPIC SUSUI
ESLBORG,ELSBORG
ESTEEM BRILLANCE,ESTEEM BRILLIANCE
ETC NEFETARI,ETC NEFERTARI
EVA DP,DH FEALTY
EVGENTA I,EVGENIA I
EVIAPETROL V,EVIAPETROL V
FAZHA 1,M.V FAZAH 1
FEDEERAL IBUKI,FEDERAL IBUKI
FEDERAL SEVEN,FEDERAL SEVERN
FEYHA,FEYHA N
FLAG FILA,FLAG FILIA
FLAGSHIP VIOLET - 2ND,FLAGSHIP VIOLET
FLORENCE-B,FLORENCE B
FM PROSPERITY,FM PROSPERITY
FMPC C ORIENT,FPMC C ORIENT
FOLTUNE SWAN,FORTUNE SWAN
FORBIN,FORBIN
FOS ATHENES,FOS ATHENS
FPMC MELODY,FPMC C MELODY
FRANCESCO CARRADO,FRANCESCO CORRADO
FREE DAULPHINE,FRI DOLPHIN
FRIENDLY ISLAND,FRIENDLY ISLANDS
FRONT CASADE,FRONT CASCADE
FRONT DUCK,FRONT DUKE
FRONTBALDER,FRONT BALDER
FT PORTORIA,FT PORTORIA
FT QUATRO,FT QUARTO
GALE,GALE
GARAND ACE1,GRAND ACE1
GAS DYNAMIC,GAZ DYNAMIC
GAS SHURIKEN,GAS SHURIKEN
